 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
55109,17,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,705882.3529,117647.0588,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,58823.52941,58823.52941,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,1013,16213,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,113594958,4,4,152,362,45,31,38.0,8.082903769,120,61,90.5,34.06366588,4.524848717,0.070425661,16200000.0,42900000.0,114000000,3,114000000,37900000.0,65600000.0,114000000,3,114000000,37900000.0,65600000.0,114000000,48,0,0,0,0,128,128,0.03521283,0.03521283,31,120,60.55555556,35.65848816,1271.527778,0,0,0,0,0,0,0,0,1,68.125,38.0,90.5,128,0,0,0,0,0,0,4,152,4,362,-1,-1,3,32,240.0,0.0,240,240,114000000.0,0.0,114000000,114000000,BENIGN
53,30485,1,1,81,209,81,81,81.0,0.0,209,209,209.0,0.0,9512.875185,65.60603576,30485.0,0.0,30485,30485,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.80301788,32.80301788,81,209,123.6666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,185.5,81.0,209.0,32,0,0,0,0,0,0,1,81,1,209,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30445,1,1,53,81,53,53,53.0,0.0,81,81,81.0,0.0,4401.379537,65.69223189,30445.0,0.0,30445,30445,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.84611595,32.84611595,53,81,62.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,93.5,53.0,81.0,32,0,0,0,0,0,0,1,53,1,81,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,70860,1,1,56,72,56,56,56.0,0.0,72,72,72.0,0.0,1806.378775,28.22466836,70860.0,0.0,70860,70860,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14.11233418,14.11233418,56,72,61.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,92.0,56.0,72.0,32,0,0,0,0,0,0,1,56,1,72,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,99737370,3,3,124,310,44,38,41.33333333,3.055050463,129,54,103.3333333,42.73562136,4.351428156,0.060157993,19900000.0,38800000.0,88900000,23542,99700000,49900000.0,55200000.0,88900000,10800000,99700000,49800000.0,55200000.0,88900000,10800000,0,0,0,0,84,84,0.030078996,0.030078996,38,129,68.28571429,41.0800612,1687.571429,0,0,0,0,0,0,0,0,1,79.66666667,41.33333333,103.3333333,84,0,0,0,0,0,0,3,124,3,310,-1,-1,2,20,57963.5,13162.79273,67271,48656,49800000.0,55300000.0,88900000,10700000,BENIGN
55351,335,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,128358.209,8955.223881,167.5,232.638131,332,3,335,167.5,232.638131,332,3,0,0.0,0.0,0,0,0,0,0,0,60,0,8955.223881,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,980,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
51494,102,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19607.84314,102.0,0.0,102,102,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9803.921569,9803.921569,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,105,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5652899,3,1,12,2,6,0,4.0,3.464101615,2,2,2.0,0.0,2.476605367,0.707601533,1884299.667,3219699.883,5601973,45,5652899,2826449.5,3925182.976,5601973,50926,0,0.0,0.0,0,0,0,0,0,0,72,24,0.53070115,0.176900383,0,6,2.8,3.033150178,9.2,0,0,0,1,0,0,0,0,0,3.5,4.0,2.0,72,0,0,0,0,0,0,3,12,1,2,8192,26883,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23674,2,2,76,262,38,38,38.0,0.0,131,131,131.0,0.0,14277.2662,168.9617302,7891.333333,13662.99412,23668,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,84.48086508,84.48086508,38,131,75.2,50.93819785,2594.7,0,0,0,0,0,0,0,0,1,94.0,38.0,131.0,64,0,0,0,0,0,0,2,76,2,262,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
