 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,61205,4,2,136,428,34,34,34.0,0.0,214,214,214.0,0.0,9214.93342,98.0312066,12241.0,16867.17138,33318,3,33324,11108.0,19234.42422,33318,3,4,4.0,0.0,4,4,0,0,0,0,128,40,65.35413773,32.67706887,34,214,85.42857143,87.83100657,7714.285714,0,0,0,0,0,0,0,0,0,99.66666667,34.0,214.0,128,0,0,0,0,0,0,4,136,2,428,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,222,2,2,90,172,45,45,45.0,0.0,86,86,86.0,0.0,1180180.18,18018.01802,74.0,86.0,170,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,40,9009.009009,9009.009009,45,86,61.4,22.45662486,504.3,0,0,0,0,0,0,0,0,1,76.75,45.0,86.0,40,0,0,0,0,0,0,2,90,2,172,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23759,2,2,70,126,35,35,35.0,0.0,63,63,63.0,0.0,8249.505451,168.3572541,7919.666667,13711.20288,23752,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,40,84.17862705,84.17862705,35,63,46.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,57.75,35.0,63.0,64,0,0,0,0,0,0,2,70,2,126,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,401,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,29925.18703,4987.531172,401.0,0.0,401,401,401,401.0,0.0,401,401,0,0.0,0.0,0,0,0,0,0,0,40,0,4987.531172,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57406,4,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,362,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57026,4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,122,16417,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48317,2,2,76,120,38,38,38.0,0.0,60,60,60.0,0.0,4056.543246,82.78659685,16105.66667,27892.36887,48313,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,80,64,41.39329842,41.39329842,38,60,46.8,12.04989627,145.2,0,0,0,0,0,0,0,0,1,58.5,38.0,60.0,80,0,0,0,0,0,0,2,76,2,120,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,211,2,2,72,334,36,36,36.0,0.0,167,167,167.0,0.0,1924170.616,18957.34597,70.33333333,80.84759324,160,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,9478.672986,9478.672986,36,167,88.4,71.75165503,5148.3,0,0,0,0,0,0,0,0,1,110.5,36.0,167.0,64,0,0,0,0,0,0,2,72,2,334,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,226,2,2,64,168,32,32,32.0,0.0,84,84,84.0,0.0,1026548.673,17699.11504,75.33333333,125.2850084,220,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,80,8849.557522,8849.557522,32,84,52.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,66.0,32.0,84.0,64,0,0,0,0,0,0,2,64,2,168,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5168505,8,6,627,3268,342,0,78.375,127.6378107,1460,0,544.6666667,715.566815,753.602831,2.708713642,397577.3077,1328227.228,4816257,2,5168505,738357.8571,1798974.339,4816257,44,213789,42757.8,58259.54295,117323,2,0,0,0,0,172,132,1.547836367,1.160877275,0,1460,259.6666667,499.4231911,249423.5238,0,0,0,1,0,0,0,0,0,278.2142857,78.375,544.6666667,172,0,0,0,0,0,0,8,627,6,3268,8192,4367,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
